price_increase_pct,national_dr_mwh,national_dr_pct,peak_dr_mwh,peak_dr_pct,industrial_dr_mwh,commercial_dr_mwh
5,140,1.17,165,1.38,205,119
10,280,2.33,330,2.75,410,238
15,420,3.5,495,4.13,615,357
20,560,4.67,660,5.5,820,476
30,840,7.0,990,8.25,1230,714
50,1400,11.67,1650,13.75,2050,1190
